[2016-10-04 21:25:15.523] [INFO] petSearch - petAPIURL : https://api.apim.ibmcloud.com/banchasetthananau1ibmcom-dev/sb/petstore/v2/pet/1441148360178?client_id=24caccbd-1a07-4e88-8f21-240e03586a3b&client_secret=G6xT5oB1aP0rN0oY3tS6aF2wA5gI8dM2lA7tF4iE5cK6mL4fK3
[2016-10-05 17:41:43.864] [INFO] petSearch - airportAPIURL : https://api.us.apiconnect.ibmcloud.com/srinivausibmcom-bluemix-bootcamp/ctg-faa-status/airport/airport/status/RDU?format=json
[2016-10-05 17:45:25.500] [INFO] petSearch - airportAPIURL : https://api.us.apiconnect.ibmcloud.com/srinivausibmcom-bluemix-bootcamp/ctg-faa-status/airport/status/RDU?format=json
[2016-10-08 17:07:08.941] [INFO] petSearch - airportAPIURL : https://api.us.apiconnect.ibmcloud.com/srinivausibmcom-bluemix-bootcamp/ctg-faa-status/airport/status/RDU?format=jsonclient_id=0605f6cd-3b05-4428-8ff4-83dbfea0be4a&client_secret=B3fT0eI3bM3dS4eO5rL6xG3pP8vL8yT0jO6hQ8kH7oD0cE0sW7
[2016-10-08 17:32:33.301] [INFO] petSearch - airportAPIURL : https://api.us.apiconnect.ibmcloud.com/srinivausibmcom-bluemix-bootcamp/ctg-faa-status/airport/status/RDU?format=json&client_id=0605f6cd-3b05-4428-8ff4-83dbfea0be4a&client_secret=B3fT0eI3bM3dS4eO5rL6xG3pP8vL8yT0jO6hQ8kH7oD0cE0sW7
[2016-10-08 17:34:02.150] [INFO] petSearch - airportAPIURL : https://api.us.apiconnect.ibmcloud.com/srinivausibmcom-bluemix-bootcamp/ctg-faa-status/airport/status/RDU?format=json?client_id=0605f6cd-3b05-4428-8ff4-83dbfea0be4a&client_secret=B3fT0eI3bM3dS4eO5rL6xG3pP8vL8yT0jO6hQ8kH7oD0cE0sW7
[2016-10-08 17:46:17.761] [INFO] petSearch - airportAPIURL : https://api.us.apiconnect.ibmcloud.com/srinivausibmcom-bluemix-bootcamp/ctg-faa-status/airport/status/RDU?format=json?X-IBM-Client-Id=0605f6cd-3b05-4428-8ff4-83dbfea0be4a&X-IBM-Client-Secret=B3fT0eI3bM3dS4eO5rL6xG3pP8vL8yT0jO6hQ8kH7oD0cE0sW7
[2016-10-08 18:12:13.150] [INFO] petSearch - airportAPIURL : https://api.us.apiconnect.ibmcloud.com/srinivausibmcom-bluemix-bootcamp/ctg-faa-status/airport/status/RDU?format=json
[2016-10-08 18:24:55.250] [INFO] petSearch - airportAPIURL : https://api.us.apiconnect.ibmcloud.com/srinivausibmcom-bluemix-bootcamp/ctg-faa-status/airport/status/RDU?format=json
[2016-10-08 18:24:58.684] [INFO] petSearch - airportAPIURL : https://api.us.apiconnect.ibmcloud.com/srinivausibmcom-bluemix-bootcamp/ctg-faa-status/airport/status/RDU?format=json
[2016-10-08 18:25:17.543] [INFO] petSearch - airportAPIURL : https://api.us.apiconnect.ibmcloud.com/srinivausibmcom-bluemix-bootcamp/ctg-faa-status/airport/status/RDU?format=json
[2016-10-08 18:27:18.012] [INFO] petSearch - airportAPIURL : https://api.us.apiconnect.ibmcloud.com/srinivausibmcom-bluemix-bootcamp/ctg-faa-status/airport/status/RDU?format=json
[2016-10-08 18:41:06.340] [INFO] petSearch - airportAPIURL : https://api.us.apiconnect.ibmcloud.com/srinivausibmcom-bluemix-bootcamp/ctg-faa-status/airport/status/RDU?format=json
